0	11702.15617438560	-581.03223938796	-3261.15608958024	11643.29659054430	-1014.21458105330	-1978.42996869193	13168.57988926790	-1014.79342543805	-1911.76022939268	13216.88453858120	-575.78884948872	-3194.10601819121	
1	11702.15617438660	-581.03223938907	-3261.15608957777	11643.29659054530	-1014.21458105247	-1978.42996868880	13168.57988926890	-1014.79342543038	-1911.76022938731	13216.88453858210	-575.78884948302	-3194.10601818653	
2	11702.15617439360	-581.03223939682	-3261.15608956045	11643.29659055260	-1014.21458104671	-1978.42996866690	13168.57988927550	-1014.79342537664	-1911.76022934978	13216.88453858820	-575.78884944312	-3194.10601815375	
3	11702.15617441260	-581.03223941786	-3261.15608951343	11643.29659057220	-1014.21458103107	-1978.42996860747	13168.57988929330	-1014.79342523079	-1911.76022924790	13216.88453860490	-575.78884933483	-3194.10601806477	
4	11702.15617444950	-581.03223945883	-3261.15608942187	11643.29659061050	-1014.21458100060	-1978.42996849173	13168.57988932810	-1014.79342494677	-1911.76022904951	13216.88453863730	-575.78884912394	-3194.10601789150	
5	11702.15617451040	-581.03223952637	-3261.15608927093	11643.29659067360	-1014.21458095038	-1978.42996830091	13168.57988938540	-1014.79342447851	-1911.76022872243	13216.88453869080	-575.78884877626	-3194.10601760584	
6	11702.15617460130	-581.03223962714	-3261.15608904575	11643.29659076780	-1014.21458087545	-1978.42996801625	13168.57988947090	-1014.79342377997	-1911.76022823449	13216.88453877070	-575.78884825759	-3194.10601717970	
7	11702.15617472810	-581.03223976776	-3261.15608873149	11643.29659089920	-1014.21458077088	-1978.42996761898	13168.57988959030	-1014.79342280507	-1911.76022755351	13216.88453888210	-575.78884753373	-3194.10601658496	
8	11702.15617489690	-581.03223995489	-3261.15608831331	11643.29659107410	-1014.21458063173	-1978.42996709032	13168.57988974910	-1014.79342150777	-1911.76022664734	13216.88453903040	-575.78884657049	-3194.10601579355	
9	11702.15617511360	-581.03224019518	-3261.15608777635	11643.29659129860	-1014.21458045305	-1978.42996641152	13168.57988995300	-1014.79341984201	-1911.76022548378	13216.88453922070	-575.78884533366	-3194.10601477735	
